ID,Name,Description,Media_Type,Download_URL,Language_ID,size
32af9c3522a6b3d39b9f996d262f99aa,AlexF_Plants-96_maybe-Premna.jpg,The bou tree.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-9285-ACA9-6D75-0/AlexF_Plants_96_maybe_Premna.jpg,tkw,201958
bfd92b69260057fe00e27683070858ce,AlexF_Vanikoro_paddle.jpg,A canoe paddle (wele) from Vanikoro.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-872C-973C-E7D2-0/AlexF_Vanikoro_paddle.jpg,tkw,136102
6b7d86130409cefc9e5c606d36e004d7,AlexF_Vanuatu_loko_leaves.jpg,A Vanuatu dancer with loko leaves around his head and waist.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-A2EE-7771-2CD3-0/AlexF_Vanuatu_loko_leaves.jpg,tkw,173153
04d96345ac11f03f67311d46b7c7a82b,AlexF_tano_Vanikoro.jpg,A kava bowl (tano),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-7D78-9DA8-5062-0/AlexF_tano_Vanikoro.jpg,tkw,289985
1d46e9bdf8c724d9566750feaf67be3c,AlexF_tepungo.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0CC3-99D2-981A-0/AlexF_tepungo.jpg,tkw,14417
60342703157588c1c57830670073973f,AlexFrancois_Lale_2005.jpg,Boys wearing a grass-skirt (kiñe voro),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-B65E-C46A-E2D1-0/AlexFrancois_Lale_2005.jpg,tkw,122462
15d3fb4065488bf68bfaec871812eb69,Appuie-nuque_tukule_santa_cruz_headrest_tukule.jpg,A headrest from Santa Cruz island (teulungo pe Niteni).,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-BE3D-6E89-AC81-0/Appuie_nuque_tukule_santa_cruz_headrest_tukule.jpg,tkw,93870
76fb69eab271e8eaa7be49d9377f3c03,Barringtonia-asiatica.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-37AD-A59F-83BB-0/Barringtonia_asiatica.jpg,tkw,129499
e7cdb905c393a845a24cb9a5481e7ebe,BerngyTee_Tamate.jpg,A set of tamate headdresses,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-145E-40B6-F8BE-0/BerngyTee_Tamate.jpg,tkw,45906
747ca993f88d5227223230afd3b78935,D02-34(04)_karen.jpg,A yam garden (sekele peini uo).,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-9795-3C9E-1A61-0/D02_34_04__karen.jpg,tkw,126555
0fd7bf634e66422a1146480ec7bd13b9,Facebook_crocodile.jpg,A crocodile in northern Vanuatu,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-BF60-A465-4A06-0/Facebook_crocodile.jpg,tkw,80993
2a319cf45b6c9caef131a9a172680de6,Francois_2003-09-26_15h47_009.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-E484-B8EF-B873-0/Francois_2003_09_26_15h47_009.jpg,tkw,120347
0992a29ba9eaba4f38c869196dd6d20f,Francois_2005_koko-krab.jpg,A coconut crab (louboaido),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-F883-96B0-20E8-0/Francois_2005_koko_krab.jpg,tkw,146147
9bc874783ab613be26d65433dc55a6dd,Francois_2006-01-16_14h49_013.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-4E17-959C-BA45-0/Francois_2006_01_16_14h49_013.jpg,tkw,141553
7cdd37d5b00346fbdf0f2ea710139afc,Francois_2006-01-21_12h44_014.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0C5D-E0E9-5674-0/Francois_2006_01_21_12h44_014.jpg,tkw,61082
85bc38172cd14a6174fe0946247c8750,Francois_2006-01-22_10h01_016.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-77CC-EECF-F840-0/Francois_2006_01_22_10h01_016.jpg,tkw,179638
c60810f2d268ca299d567fab9f55f1db,Francois_2007-02-19_20h15_018.jpg,Make fire by rubbing (li-ia iawo).,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0190-92AD-838C-0/Francois_2007_02_19_20h15_018.jpg,tkw,107816
e03c497f5ffb0692bd6691f52ead4624,Francois_2011-04-22_12h55_003.jpg,"Small islets, temotu (photo: Vanuatu).",image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-5C80-F7D9-0316-0/Francois_2011_04_22_12h55_003.jpg,tkw,69726
437c0771cb18e2169ac8b50a456d8d9f,Francois_2019-05-19_kef.jpg,A cave in the cliff.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-BDD9-3D0A-605E-0/Francois_2019_05_19_kef.jpg,tkw,111501
9bc9e58fe2786b71453380608d323904,Francois_Fence.jpg,The pigstry fence (aero peini pwoi).,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-3515-FB2E-B16A-0/Francois_Fence.jpg,tkw,172649
6be6541773b2ab694948dae32b0f4aa2,Francois_charpente.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-4A77-E427-71EC-0/Francois_charpente.jpg,tkw,133922
847a943bf71b67cfb89948b8b2672367,Francois_charpente2.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-ADCA-EFED-2C24-0/Francois_charpente2.jpg,tkw,124955
9e5e616862e22eaab2f374be5324fd93,Hippopus.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-257D-D3B4-CF4B-0/Hippopus.jpg,tkw,132253
d1dd248fba869c39fe2f65cb1c57e7fd,Large-liana_2003.jpg,The giant liana lava abilo.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-FF24-068C-8A5F-0/Large_liana_2003.jpg,tkw,251216
a7c93a29c237cd553a5f03bac17a5224,Les-fregates_Astrolabe-et-Boussole_Hawai_1786_s.jpg,The two frigates of Lapérouse (toñaki ie Laperusi),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-8AB8-BF14-BA4C-0/Les_fregates_Astrolabe_et_Boussole_Hawai_1786_s.jpg,tkw,207528
5ab7449bd3939fce7ce47f718dca216c,Motow_s.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-70F2-74C6-4D2B-0/Motow_s.png,tkw,77824
62c537bf5db9976b046c7c9cfba57211,Myzomela.jpg,The Cardinal Honeyeater (mamdeuko),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-864F-3118-4394-0/Myzomela.jpg,tkw,66577
db5b6b683fb121abb83806a810539ce1,Plants-album_32.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-F74A-2753-6791-0/Plants_album_32.jpg,tkw,191707
7d7ed713a0e13536a5e04fb7860d7ccb,Plants-album_60_s.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-1951-EEEF-CA67-0/Plants_album_60_s.jpg,tkw,200938
0c8ebca6d6e325743d1c57138026ab83,Plants-album_64_napyoh.jpg,The tree leñe.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-582E-864E-4E48-0/Plants_album_64_napyoh.jpg,tkw,215683
e4f5e22b4f375d8c4a56f74099e94031,SantaCruz_feathers.jpg,"Feather money from the Santa Cruz, made with the red feathers of the Honeyeater (mamdeuko)",image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-1A52-605F-6AFB-0/SantaCruz_feathers.jpg,tkw,36896
f138e0411807961461b97e5380892797,Stone-oven.jpg,Oven stones (visiboko),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-994D-BF05-8F0B-0/Stone_oven.jpg,tkw,136506
3b3ac81ceeca1373268f87bf7099b160,Tamate_Vanikoro_2018.jpg,"kiñe tamate, the long fibres worn by the dancing spirits (tamate)",image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-C481-82FF-F54B-0/Tamate_Vanikoro_2018.jpg,tkw,120297
18ed6538b0ba70612abee664efd8dec8,Tamate_dancing.jpg,The dance of tamate creatures,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0C72-4DC9-4BBF-0/Tamate_dancing.jpg,tkw,122625
92f6351c53594591b3aec9dbb35c618f,Tatouage-Iles-Vanikoro-Salomon-1836-Oceanie-Polynesie.jpg,"A man wearing a breast plate (kolokolo), 1836.",image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-3230-2CA9-7961-0/Tatouage_Iles_Vanikoro_Salomon_1836_Oceanie_Polynesie.jpg,tkw,151596
89da6222733bccbbf6aaf0da32ed6151,Teanu_bile_Colour-eye-koro_2020-06-18.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-1686-4157-BF48-0/Teanu_bile_Colour_eye_koro_2020_06_18.jpg,tkw,95024
769fe56494163b20321927eadeee57f1,Tepukei_z.jpg,A tepuke canoe.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-3445-5E5D-6813-0/Tepukei_z.jpg,tkw,71330
06ee45365cb90db7c43da166269be2f1,Tridacna-crocea.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-6D49-85A0-C6CA-0/Tridacna_crocea.jpg,tkw,143387
9c718b07b7e0326c4a690459c56579c1,Tridacna-gigas.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-BDD5-7DF0-1C44-0/Tridacna_gigas.jpg,tkw,138410
6ce2cdfc94b4a2801c4f06755b75ad96,Tridacna-noae.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-67FF-ACAE-ABF9-0/Tridacna_noae.jpg,tkw,99635
295aebbfc8f53b6cf4dbb08fdd34b96c,Troca_armbands.jpg,Troca armbands: webwe.,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-5980-B525-4F39-0/Troca_armbands.jpg,tkw,114518
3f50b0fc7a880632857334f8f7d70ced,Uwmet.jpg,,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-646C-907C-4B00-0/Uwmet.jpg,tkw,11809
1815608188a5ef9c7c4d750a95456b26,Vanikoro-winds_AlexFrancois-2010.jpg,The winds (ngiro) of Vanikoro,image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0F13-10C2-FA91-0/Vanikoro_winds_AlexFrancois_2010.jpg,tkw,180064
4fe83c846d2b6238159994b342ac45bf,Vanikoro_dUrville_1836_Pagnes.jpg,"Vanikoro men wearing loincloths (tolosai), 1836",image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-133E-FA63-D202-0/Vanikoro_dUrville_1836_Pagnes.jpg,tkw,102273
612d4028bc5d497436f7f465472b0588,anguille.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-E10C-E468-537F-0/anguille.png,tkw,18096
e682ce6617f1c2bbcf18091c8ddee41e,aretes.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-93F1-184C-998C-0/aretes.png,tkw,30924
83966bdad9adade2b4cc9ccedeed9f14,artocarpus.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-2ED8-9742-6293-0/artocarpus.png,tkw,87468
0a75923e6852c3c8514cd86c48db6bdd,balayant.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-077E-B5BC-83C2-0/balayant.png,tkw,69670
edd9a1dd419dbb1e09d49a730fac70dd,barracuda.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-4E74-76C3-AB92-0/barracuda.png,tkw,21097
04d0cd6993383f1164d9b6bbe47140b6,buro-duo-NB.jpg,Stomping the bamboo tubes (Li-woi jokoro),image/jpeg,https://cdstar.eva.mpg.de/bitstreams/EAEA0-82A4-B187-18DE-0/buro_duo_NB.jpg,tkw,51553
1abc8c7ac5042941b5b70e8ff1f30ca6,canarium.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-02F3-861F-E271-0/canarium.png,tkw,82070
66c407d81fc9d09daa0c92241779f121,carangue.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-DBC0-83BA-1FAB-0/carangue.png,tkw,43893
7792657deb1b04af4915bbac62667d73,chien.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-F6E6-DFE9-A68E-0/chien.png,tkw,41330
2a27eb85d6af5c17d46c38d0c18e322d,coq.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-515D-080C-E9E5-0/coq.png,tkw,67172
b4b492fb970c68874fa6172869cb88b6,crabe.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-442C-40FC-F020-0/crabe.png,tkw,54258
da50eb336205a0ca5afd4472060918f6,dauphin.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-0F18-7777-060C-0/dauphin.png,tkw,35276
4c9827553c3509899d887bfdbb0e94d4,enfant.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-FD1F-0840-C4B1-0/enfant.png,tkw,46610
a89a11f83856f53247487fb46b28a2a7,femmes.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-3D26-A2A0-9475-0/femmes.png,tkw,63223
6e797316491249c47c58592dd07037b7,fleurs.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-2551-C67F-E1DC-0/fleurs.png,tkw,51271
54b22ec0d84c8309a17eb94ae27a470a,geveg.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-227D-9EB9-DF36-0/geveg.png,tkw,52424
eca5b366436eaff0119ea95b9f81c287,halcyon.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-34DD-E6A4-EEEE-0/halcyon.png,tkw,349637
5aa1af406608a4a999f0516fa3c725fe,hibiscus.png,,image/png,https://cdstar.eva.mpg.de/bitstreams/EAEA0-5EFD-411B-F1BF-0/hibiscus.png,tkw,54044
