ID,Description,Entry_ID,Antonym,Bibliographical_Reference,Encyclopedic_Info,Etymology_Source,Infobox,Infobox_Teanu,Lexical_Function_Gloss,Literally,Media_IDs,Scientific_Name,Semantic_Domain,Sense_Comment,Synonym,Syntactic_Restriction,Typical_Subject
SN002428,"reach, come to meet ‹s.o.›; meet",LX000462,,,,,,,,,,,,,,,
SN002429,affect ‹s.o.›,LX000462,,,,,,,,,,,,,,,sickness+
SN002430,go and reach ‹somewhere›; hence all the way to ‹a place›,LX000463,,,,,,,,,,,,,,after motion vb,
SN002431,(do) until ‹specific moment›,LX000463,,,"Synt.: Impersonal construction, always with 3s prefix [i-](i-_1).",,,,,,,,,,ra_1,+time,
SN002432,beard,vagumia_1,,,,,,,,,,,Anat,,,,
SN002433,"bake ‹food›, cook in the stone oven ([awene](awene_1))",LX000464,,,,,,,,,,,,,,,
SN002434,swiftlet; espec. White-rumped Swiftlet,vakaboro_1,,,,,,,,,,Aerodramus spodiopygius,Ornith,,,,
SN002435,airplane,vakaboro_1,,,,,,,,,,,Mod,fig,,,
SN002436,"k.o. creeper, unidentified",vakaboro_2,,,,,,,,,,,Bot,,,,
SN002437,"Southwesterly wind, blowing between [Tokolau](Tokolau_1) and [Laki](Laki_1)",Vakasiu_1,,,,,,,,,,,Naut,,,,
SN002438,carry ‹burden› on o.'s shoulder using a stick,LX000465,,,,,,,,,,,,,,,
SN002439,"gnomic aspect, in definitions or generic statements",vana_1,,,,,,,,,,,Gram,,,clause-initial position,
SN002440,"Habitual aspect, in past or present contexts",vana_1,,,,,,,,,,,Gram,,,clause-initial position,
SN002441,do s.th. repeatedly,vana_1,,,,,,,,,,,,rare,,iterative meaning,
SN002442,"Vanikoro: name of a group of islands, incl. the main islands [Banie](Banie_1) and [Teanu](Teanu_1)",Vanikoro_1,,,,,,,,,,,Geo,,,,
SN002443,"glow, light",vangana_1,,,,,,,,,,,,,,,
SN002444,wild (opp. tame),vao_1,,,,,,,,,,,,,,,animal
SN002445,"wild, growing in the bush (opp. cultivated)",vao_1,,,,,,,,,,,,,,,plant
SN002446,pig; espec. wild pig,vao_2,pwoi_1,,,,,,,,,Sus scrofa,Zool,,,,
SN002447,"a heathen altar, used for offerings to ancient gods ([tadoe](tadoe_1))",variale_1,,,,,,,,,,,Myth,,,,
SN002448,"boom: wooden element of a canoe, attached to the mast ([iuro](iuro_1)), holding the sail ([bavede](bavede_1))",vava_1,,,,,,,,,,,,,,,
SN002449,interrogative verb,LX000466,,,"Contrary to [~mikae](LX000271)* ‘do what’ and [~kae](LX000133)* ‘do how’ which both take a personal subject, [~ve](LX000466) always takes a (semantically impersonal) 3sg subject [i-](i-_1). The surface form is therefore always [ive](ive_1) (for i-ve).",,,,,,,,,,,,
SN002450,"give birth, deliver a baby",LX000467,,,,,,,,,,,,,,used absolutely,
SN002451,"lay ‹egg›, give birth to ‹offspring›",LX000468,,,,,,,,,,,,,,,"female animal, woman"
SN002452,"beget ‹s.o.›, be parent of",LX000468,,,,,,,,,,,,,,,"man, woman"
SN002453,be born,LX000468,,,,,,,,,,,,,,"with impersonal subject [li-](li-_1), equivalent to a passive",s.o.
