ID,Description,Entry_ID,Antonym,Bibliographical_Reference,Encyclopedic_Info,Etymology_Source,Infobox,Infobox_Teanu,Lexical_Function_Gloss,Literally,Media_IDs,Scientific_Name,Semantic_Domain,Sense_Comment,Synonym,Syntactic_Restriction,Typical_Subject
SN000001,tremble with fear; feel very uncomfortable,LX000001,,,,,,,,,,,,,,,body
SN000002,you: second singular realis prefix,a-_1,u-_1,,"Morph.: Becomes [ai-](ai-_1) before a vowel, or some monosyllabic roots.",,,,,,,,,,,,
SN000003,"(food+) for me and him/her: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 1 exclusive dual possessor (see [keba](keba_1))",aba_1,,,,,,,,,,,,,,,
SN000004,"our (relative), of me and him/her: form of the possessive classifier used for kin terms ([one](one_1)*), with a 1 exclusive dual possessor (see [keba](keba_1))",aba_2,,,,,,,,,,,,,,,
SN000005,"many, a lot of; numerous",abia_1,amjaka_1,,,,,,,,,,,,,,
SN000006,"all, every",abia_1,,,,,,,,,,,,,awoiu_4,,
SN000007,everything,ngatene_abia_1,,,,,,,,thing all,,,,,,,
SN000008,"every day, always",moro_abia_1,,,,,,,,day all,,,,,,,
SN000009,thick,abiaini_1,LX000265,,,,,,,,,,,,,,
SN000010,k.o. plant,abigo_1,,,,,,,,,,Acalypha hispida ; Acalypha grandis,Bot,,,,
SN000011,snake,abilo_1,,,,,,,,,292937c52d83157c3f9c917fb151efec,,,,,,
SN000012,seasnake,abilo_peini_revo_1,,,,,,,,snake of the sea,e44a665fa653e4057e407a1d4990a409,Laticauda semifasciata,Sea,,meviko_takataka_1,,
SN000013,grass,abo_1,,,,,,,,,,,,,,,
SN000014,blood,abo_2,,,,,,,,,,,Anat,,,,
SN000015,intimate feelings. Used in some expressions,abo_2,,,,,,,,,,,,fig ; rare,,,
SN000016,"‘all right’, ‘let's’",abu_1,,,,,,,,,,,Gram,,,before hortative,
SN000017,marks polite order: ‘please’,abu_1,,,Cognate with the conative prefix [bu-](bu-_1).,,,,,,,,Disc,,,before imperative verb,
SN000018,"encouragement towards action: ‘come on’, ‘please’",abu_1,,,,,,,,,,,,,,used alone,
SN000019,go down,LX000002,LX000471,,,,,,,,,,,,,physical motion,
SN000020,"subside, slow down",LX000002,,,,,,,,,,,,fig,,,
SN000021,travel north or west,LX000002,LX000471,,,,,,,go downwind,,,,,,geocentric meaning,
SN000022,(move+) down,LX000003,,,,,,,,,,,,,,after intransitive verb,
SN000023,"(take, move s.th.) down",LX000003,,,,,,,,,,,,,,after transitive verb,
SN000024,"downwind, towards north or west",LX000003,,,,,,,,,,,,,,geocentric meaning,
SN000025,"hit, strike ‹s.th., s.o.›, typic. with o.'s hands",LX000004,,,,,,,,,,,,,,,
SN000026,"have an impact upon ‹s.th., s.o.›, affect",LX000004,,,,,,,,,,,,fig,,,s.th.
SN000027,play ‹musical instrument› using hands,LX000004,,,,,,,,,,,,,,,
SN000028,"kill, slay, murder ‹s.o.›",LX000004,,,,,,,,,,,,,LX000040,,
SN000029,"kill ‹animal›, hence hunt, fish+",LX000004,,,,,,,,,,,,,,,
SN000030,"wash ‹clothes+› with water, esp. vigorously",LX000005,,,,,,,,,,,,,,,
SN000031,sit down,LX000006,,,,,,,,descend sit,,,,,,,
SN000032,take ‹s.th.› down,LX000007,,,,,,,,,,,,,,,
SN000033,sap ‹of tree›: natural liquid coming out of a plant's trunk or stem,abwa_1,ela_2 ; tepulu_1,,,,,,,,092740aa274623302271bb106cd064e6,,,,,,
SN000034,liquid characterized by its specific colour; hence colour,abwa_1,,,,,,,,,,,,,,,
SN000035,red-brown colour,abwa_nabene_1,,,,,,,,tobacco colour,,,,,,,
SN000036,deep blue,abwa_motono_1,,,,,,,,colour (like) the deep sea,,,,,,,
SN000037,"turquoise blue, blue-green",abwa_nga_toloto_1,,,,,,,,colour like the lagoon,,,,,,,
SN000038,"resin of the breadfruit tree ([bale](bale_1)), used as glue; hence glue",abwa_bale_1,,,,,,,,breadfruit gum,,,,,,,
SN000039,"coconut ‘milk’, obtained by squeezing coconut flesh",abwaro_1,,,,,,,,,,,Food,,,,coconut
SN000040,"their (food+), of them two: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 3 dual possessor (see [da](da_1))",ada_1,,,,,,,,,,,Gram,,,,
SN000041,"their (relative): form of the possessive classifier used for kin terms ([one](one_1)*), with a 3 dual possessor (see [da](da_1))",ada_2,,,,,,,,,,,Gram,,,,
SN000042,"their (food+): form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 3 plural possessor (see [dapa](dapa_1))",adapa_1,,,,,,,,,,,Gram,,,,
SN000043,"their (relative): form of the possessive classifier used for kin terms ([one](one_1)*), with a 3 plural possessor (see [dapa](dapa_1))",adapa_2,,,,,,,,,,,Gram,,,,
SN000044,cloud,adawo_1,,,,,,,,,,,,gen,,,
SN000045,back,adie_1,,,,,,,,,,,Anat,arch,utedie_1,,s.o.
SN000046,rear part of ‹s.th.›,adie_1,,,,,,,,,,,,,viri_1,,
SN000047,later phase of ‹s.th.›,adie_1,,,,,,,,,,,,,,,
SN000048,"afterwards, then",adie_2,,,More commonly preceded with a preposition [ne](ne_1).,,,,,,,,,rare,,,
SN000049,Egghead Parrotfish,adiro_1,,,,,,,,,,Scarus oviceps,Fish,,,,
SN000050,what?,ae_1,,,"Sometimes longer form [nganae](nganae_1)*, from ngaten' ae.",,,,,,,,,,,,
SN000051,"hesitation marker used when looking for one's words, esp. before a noun",ae_1,,,,,,,,,,,,,,between pauses,
SN000052,hollow out; remove stuff from ‹wood+›,LX000008,,,,,,,,,,,,,,,
SN000053,dig a hole in ‹ground›,LX000008,,,,,,,,,,,,,,affected object,
SN000054,dig ‹hole› in s.th.,LX000008,,,,,,,,,,,,,,effected object,
SN000055,"dig out, harvest ‹yam, hill taro›",LX000008,,,,,,,,,,,,,,,
SN000056,"lower limb: leg, foot",aele_1,,,,,,,,,,,Anat,,,,s.o.
SN000057,take a number of steps,LX000009,,,,,,,,take legs,,,,,,,
SN000058,"name of a Spirit ([tamate](tamate_1)), with thick legs",Aele_Teulungo_1,,,,,,,,pillow legs,,,Myth,,,,
SN000059,"fence, hedge",aero_1,,,,,,,,,9bc9e58fe2786b71453380608d323904,,,,,,
SN000060,"fence around pen, in a farm; hence pen",aero_1,,,,,,,,,,,,esp,,,
SN000061,"limit, border",aero_1,,,,,,,,,,,,gen,,,
SN000062,"district, area, territory",aero_1,,,,,,,,,,,,hence,,,
SN000063,seashell of any form,aero_2,,,,,,,,,1e8b9ad932fa4b5021cd4e6b727df353,,Sea,gen,,,
SN000064,"bivalve shell, traditionally used as an instrument to grate ([~lu](LX000235)) coconut flesh or scrape the skin of tubers",aero_2,,,,,,,,,,,,esp,,,
SN000065,"small cone shell used as traditional money ([viko](viko_1)) in Vanikoro, and other parts of Melanesia",aero_we_anive_1,,,,,,,,shellfish for dugong,3b017bc391b0af930fe5094c9c947a49,Conus musicus ceylanensis,Sea,,vesevelae_1,,
SN000066,the sun,aeve_1,,,,,,,,,,,,,,,
SN000067,"the sun in its daily course, as a reference for indicating the time of the day",aeve_1,,,,,,,,,,,,esp,,,
SN000068,hours on the clock; o'clock,aeve_1,,,,,,,,,,,,hence,,,
SN000069,"pointed arrowhead (of an arrow, [puro](puro_1)), made of strong wood",agilo_1,,,,,,,,,,,,,,,
SN000070,spear ‹fish+›,LX000010,,,,,,,,,,,,,LX000538,,
SN000071,"shoot ‹s.o., s.th.› using bow ([visone](visone_1)) and arrow ([puro](puro_1))",LX000010,,,,,,,,,,,,,LX000538,,
SN000072,"strike (s.o., s.th.: [ñe](LX000313)) using a long object",LX000011,,,,,,,,,,,,,,,
SN000073,k.o. ant,aguro_1,,,,,,,,,,,Ins,,,,
SN000074,you: variant of [a-](a-_1) (2sg Realis prefix) before a vowel or certain monosyllabic roots,ai-_1,,,,,,,,,,,Gram,,,,
SN000075,God,LX000012,,,,,,,,our Father,,,Christ,,mwaliko_pine_1,,
SN000076,father,aia_1,,,The symmetrical term is [menu](menu_1) (pl. [dameliko](dameliko_1)) or [apali](apali_1).,,,,,,,,Kin,,,,
SN000077,"classificatory father: any male member of the parental generation (F, FB, FZH, MZH…) except the maternal uncle (MB = [gea](gea_1))",aia_1,,,,,,,,,,,,,,,
SN000078,"affectionate address term, used by an elderly person, to a young man who has children – including to his own son. Sometimes a child's name is mentioned",aia_2,,,,,,,,father!,,,,,,,
SN000079,be difficult,LX000013,LX000536,,,,,,,,,,,,,,s.th.
SN000080,"form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with an impersonal possessor ([idi](idi_1) ‘people’)",aidi_1,,,,,,,,,,,Gram,,,,
SN000081,"form of the possessive classifier used for kin terms ([one](one_1)*), with an impersonal possessor ([idi](idi_1) ‘people’)",aidi_2,,,,,,,,,,,,,,,
SN000082,"your (food+), of you and them: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 2 plural possessor (see [kaipa](kaipa_1)*)",aipa_1,,,,,,,,,,,Gram,,,,
SN000083,"your (relative): form of the possessive classifier used for kin terms ([one](one_1)*), with a 2 plural possessor (see [kaipa](kaipa_1)*)",aipa_2,,,,,,,,,,,,,,,
SN000084,"stand up, get up",LX000014,,,,,,,,,,,,,,,
SN000085,"depart, leave a place, take leave",LX000014,,,,,,,,,,,,,,,
SN000086,wake up,LX000015,,,,,,,,get up in the morning,,,,,,,
SN000087,"do, make: variant of [~ejau](LX000095)*",LX000016,,,,,,,,,,,,,,,
SN000088,"rubbish, refuse, garbage",ajekele_1,,,,,,,,,,,,,,,
SN000089,blow strongly,LX000017,,,,,,,,,,,,,,,wind
SN000090,gush in violently,LX000017,,,,,,,,,,,,,,,wave+
SN000091,"be angry (at s.o., [ñe](LX000313))",LX000017,,,The phrase awa ini i-aka ‘he's angry’ has given rise to a verb [~wañaka](LX000524) ‘be angry’.,,,,,,,,,,,,"[awa](awa_1) ‘neck, mind’"
SN000092,"wash ‹s.o., s.th.› gently; rinse with water",LX000018,LX000005,,,,,,,,,,,,,,
SN000093,set ‹a trap›,LX000019,,,,,,,,,,,,,,,
SN000094,scratch,LX000020,,,,,,,,,,,,,,,
SN000095,"our (food+), of you and us: form of the possessive classifier used for food, drink, tools, customary possessions etc. ([enaka](enaka_1)*), with a 1st inclusive plural possessor ([kiapa](kiapa_1))",akapa_1,,,,,,,,,,,Gram,,,,
SN000096,the Teanu language,piene_akapa_1,,,,,,,,our language,,,,,,,
SN000097,"our (relative), of you and us: form of the possessive classifier used for kin terms ([one](one_1)*), with a 1st inclusive plural possessor ([kiapa](kiapa_1))",akapa_2,,,,,,,,,,,Gram,,,,
SN000098,"send ‹s.th., s.o.›",LX000021,,,,,,,,,,,,,,,
SN000099,wear ‹s.th.› around o.'s neck,LX000022,,,,,,,,,,,,,,,
SN000100,"hang ‹s.th.› on o.'s back or shoulder, using straps",LX000022,,,,,,,,,,,,,,,
SN000101,"our (food+), of you and me: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 1st inclusive dual possessor ([kia](kia_1))",akia_1,,,,,,,,,,,Gram,,,,
SN000102,"our (relative), of you and me: form of the possessive classifier used for kin terms ([one](one_1)*), with a 1st inclusive dual possessor ([kia](kia_1))",akia_2,,,,,,,,,,,Gram,,,,
SN000103,blond,LX000023,boro_1,,,,,,,,,,,,,,hair
SN000104,yellowed through growth,LX000023,,,,,,,,,,,,,,,plant
SN000105,be ripe and sweet,LX000023,,,,,,,,,,,,esp,,,banana
SN000106,"river mouth, down where a river reaches the sea",LX000024,,,,,,,,river foot,,,,,,,
SN000107,"leg, foot",ale_1,,,,,,,,,,,Anat,,,,
SN000108,bottom part ‹of s.th.›,ale_1,,,,,,,,,,,,fig,,,
SN000109,"pick ‹areca nuts, [buioe](buioe_1)› by climbing on the tree",LX000025,,,,,,,,,,,,,,,
SN000110,"cast ‹a net, [pele](pele_1)›",LX000026,,,,,,,,,,,,,,,
SN000111,pufferfish,aluko_1,,,,,,,,,,Tetraodontidae spp,Fish,,,,
SN000112,"name of an area on the island of Utupua ([Tetevo](Tetevo_1)), where the Nembao language is spoken",Alvaki_1,,,,,,,,,,,,,,,
SN000113,"swing ‹s.th.› to and fro, back and forth",LX000027,,,,,,,,,,,,,,,
SN000114,"your (food+), of you two: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 2 dual possessor (see [kela](kela_1)*)",amela_1,,,,,,,,,,,Gram,,,,
SN000115,"your (relative), of you two: form of the possessive classifier used for kin terms ([one](one_1)*), with a 2 dual possessor (see [kela](kela_1)*)",amela_2,,,,,,,,,,,Gram,,,,
SN000116,in small quantity; few,amjaka_1,,,,,,,,,,,,,,,
SN000117,"short, small: k.o. diminutive",amjaka_1,,,,,,,,,,,,rare,,,
SN000118,a little bit,amjaka_2,,,,,,,,,,,,comm,,,
SN000119,"Sir, Mr.: abbreviation of [amoso](amoso_1) ‘old man’",Amo_1,,,,,,,,,,,,,,,
SN000120,old man: a respectful term,amoso_1,momoso_1,,,,,,,,,,,,,,
SN000121,sir; mister,amoso_1,,,,,,,,,,,,,,,
SN000122,seaweed,amuko_1,,,,,,,,,,,Sea,,,,
SN000123,"crushed seaweed, traditionally used as a protective varnish and insect repellent on wood",amuko_1,,,,,,,,,,,Techn,,,,
SN000124,the Christian God,Amwakilo_1,,,,,,,,,,,Christ,,LX000012,,
SN000125,variant of [mwaliko](mwaliko_1),amwaliko_1,,,,,,,,,,,,,,,
SN000126,"sea urchin, of various sorts",ane_1,,,,,,,,,,,Sea,,,,
SN000127,"Diadema urchin, with long, black needles",ane_1,,,,,,,,,,Diadematidae spp.,,,,,
SN000128,pencil urchin,ane_1,,,,,,,,,,Heterocentrotus mammillatus,,,,,
SN000129,Crown-of-thorns starfish,ane_1,,,,,,,,,,Acanthaster planci,,,,,
SN000130,"halfbeak, garfish",anema_1,,,,,,,,,,Hemirhamphus spp,Fish,,,,
SN000131,"flesh, meat",anes_1,,,,,,,,,,,Anat,,,,animal+
SN000132,name of an ancient village in Teanu island,Aneve_1,,,,,,,,,,,,,,,
SN000133,"sweep ‹place, s.th.› with a broom",LX000028,,,,,,,,,0a75923e6852c3c8514cd86c48db6bdd,,,,,,
SN000134,dugong,anive_1,,,,,,,,,,Dugong dugong,Sea,,,,
SN000135,Sweetlip Emperor,anluko_1,,,,,,,,,,Lethrinus miniatus,Fish,,,,
SN000136,Eyestripe Surgeonfish,anmobo_1,,,,,,,,,,Acanthurus dussumieri,Fish,,,,
SN000137,"road, path on land",anoko_1,,,,,,,,,,,,,,,
SN000138,"path, route, itinerary",anoko_1,,,,,,,,,,,,abstr,,,
SN000139,"marsh, swamp; mud",antebe_1,,,,,,,,,,,,,,,
SN000140,drink,LX000029,,,,,,,,,,,,,,,
SN000141,"turtle, esp. sea turtle",anuele_1,,,,,,,,,414082e2f2f49f815acdd967ab3eb324,Cheloniidae spp,Sea,,,,
SN000142,Hawksbill turtle,anuele_anaero_1,,,,,,,,,,Eretmochelys imbricata,Sea,,,,
SN000143,Green turtle,anuele_tukuteleu_1,,,,,,,,,,Chelonia mydas,Sea,,,,
SN000144,"piece, bit of ‹food+›",LX000030,,,,,,,,,,,,,,,
SN000145,taste of ‹s.th.›,LX000030,,,,,,,,,,,,,,,
SN000146,noise of ‹s.th.›,LX000030,,,,,,,,,,,,,,,
SN000147,"strength, energy of ‹s.o.›",LX000030,,,,,,,,,,,,fig,,only in negative sentence,
SN000148,"a ritual of initiation symbolizing the transmission of a father's rights over land and ownership, to ‹his own children›",LX000031,,,,,"Li-miñi aña dameliko: Due to the matrilineal structure of Vanikoro society, children automatically inherit land and property from their mother's clan. But a special ritual of transmission (~mini aña (dameliko)) is required from the father to his children, to ensure that they will also inherit from their father's clan ([basa](basa_3)) when he dies. The clan of the mother – represented by the children’s uncle (gi' adapa) – brings presents to the father in the form of mat money ([savene](savene_1)) or shellmoney ([viko](viko_1)). This will be a way, for the mother’s clan, to symbolically “buy the clan” (li-sava basa) – i.e. buy land rights from the father’s clan.",,,,,,Ethn,,,,
SN000149,"perform a ritual of transmission for ‹children›, symbolizing their right to inherit land and wealth from the father's side; hence bequeath land to ‹o.'s children›",LX000032,,,,,,,,hold the ritual for children,,,,,,,father
SN000150,"make ‹s.th., s.o.› wet",LX000033,,,,,,,splash,,,,,,,,rain+
SN000151,small bits of ‹s.th.›,LX000034,,,"Morph.: Reduplication of [aña](LX000030), with pluralising and diminutive effect.",,,,,,,,,,,,
SN000152,jaw; chin,LX000035,,,,,,,,,,,Anat,,,,
SN000153,whale,LX000036,,,,,,,,,,Balaenidae spp,Sea,,,,
SN000154,amber,LX000037,,,,,,,,whale vomit,,,,,,,
SN000155,"footprint, tracks left by ‹man, animal› on the ground",angede_1,,,,,,,,,,,,,,,
SN000156,"relic, remains, vestiges of ‹s.th.›; traces left by ‹s.o.›, esp. in the landscape",angede_1,,,,,,,,,,,,,,,
SN000157,"writing, letters of alphabet",angede_ovene_1,,,,,,,,tracks of heron,,,,fig,,,
SN000158,"written message, letter, email",angede_ovene_1,,,,,,,,,,,,,sivene_1,,
SN000159,"child, young person",apali_1,,,,,,,,,,,,,,non-relational,
SN000160,"relative of ‹s.o.›, member of o.'s close family",apalimata_1,,,"Synt.: Although it refers to kinship, this relational noun does not encode its possessor using the kin classifier ([one](one_1), [ie](ie_2)), but with a direct possessor, like body parts.",,,,,,,,,,ne_2 ; dapa_enone_1,,
SN000161,"his, her (food+): form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 3 singular possessor (see [ini](ini_1))",ape_1,,,,,,,,,,,,,,,
SN000162,"small in size, little",apilaka_1,pine_1,,Only with singular nouns. Plural form is suppletive [wamtaka](wamtaka_1).,,,,,,,,,,,,
SN000163,"small in age, young",apilaka_1,,,,,,,,,,,,,,,
SN000164,"make, create ‹s.th.›",LX000038,,,,,,,,,,,,,LX000095,,
SN000165,"prepare ‹garden› for cultivation, cultivate",LX000039,,,,,,,,make garden,,,,,,,
SN000166,"kill ‹s.o.›, destroy ‹a group of people›",LX000040,,,,,,,,,,,,,LX000503,,
SN000167,"cook, prepare dinner",LX000041,,,,,,,,,,,,,LX000098,,
SN000168,"hurricane, cyclone",apono_1,,,,,,,,,,,,,,,
SN000169,"swear (on s.o.'s life, [ñe](LX000313) +N)",LX000042,,,Anth: You typically swear on the life of your cross-cousin ([leka](leka_1)).,,,,,,,,,,,,
SN000170,rainbow,aremo_1,,,,,,,,,0bc0c736ffe95749835da1faea652a3a,,,,,,
SN000171,"break into pieces, shatter, destroy ‹s.th.›",LX000043,,,,,,,,,,,,,LX000337,,
SN000172,sew ‹clothes+›,LX000044,,,,,,,,,,,,,,,
SN000173,stitch up ‹wound›,LX000044,,,,,,,,,,,,,,medic.,
SN000174,ghost crab,asigo_1,,,,,,,,,,Ocypode cerathophthalma,Sea,,,,
SN000175,bat,asodo_1,,,,,,,,,,Chiroptera spp.,Zool,,,,
SN000176,"vine, liana",asoe_1,,,,,,,,,,,Bot,,veve_1,,
SN000177,"soul, spirit of ‹s.o.› insofar as it can be separated from the body",ata_1,,,,,,,,,,,,,,,
SN000178,k.o. black lizard,atavono_1,,,,,,,,land spirit (?),,,Zool,,,,
SN000179,"for good, forever",ate_1,,,,,,,,,,,,,,,
SN000180,fallow garden,atero_1,,,,,,,,,,,,,,,
SN000181,"narrate, tell ‹story, [iepiene](iepiene_1)›",LX000045,,,,,,,,,,,,,,,
SN000182,"talk about ‹s.th., s.o.›, mention",LX000045,,,,,,,,,,,,,,,
SN000183,slide along a surface,LX000046,,,,,,,,,,,,,,,
SN000184,"gird ‹o.s.› with ([ñe](LX000313)) a skirt, or a loincloth ([namolo](namolo_1)) around o.'s hips",LX000047,LX000115,,,,,,,,,,,,,reflexive construction,woman
SN000185,toilet in the forest,atone_1,,,,,,,go to the sea,,,,,,,,
SN000186,"try hard, make intense efforts",LX000048,,,,,,,,,,,,,,,
SN000187,"make effort upon ‹s.th.›, have a go at ‹s.th. difficult›",LX000049,,,,,,,,,,,,,,,
SN000188,"try unsuccessfully, hence fail, not manage to do s.th.",LX000049,,,,,,,,,,,,,,+ Subord. [pe](pe_3),
SN000189,pluck out ‹s.th.› by pulling it out,LX000050,,,,,,,,,,,,,,,
SN000190,remove ‹water taro+› by plucking it out; hence harvest,LX000050,,,,,,,,,,,,esp,,,
SN000191,wrap ‹s.th.› with a leaf or equivalent,LX000051,,,,,,,,,,,,,,,
SN000192,"hermitcrab, a small crustacean that lodges inside inside shells",aulo_1,,,,,,,,,,Pagurus spp,Zool,,,,
SN000193,wings,ava_1,,,,,,,,,,,Ornith,,,,bird+
SN000194,side fins,ava_1,,,,,,,,,,,,,,,fish
SN000195,"name of a traditional geometrical design ([tetawene](tetawene_1)), whose shape is reminiscent of open wings",ava_saba_1,,,,,,,,frigate wings,,,Ethn,,,,
SN000196,fly,LX000052,,,,,,,,,,,Ornith,,,,bird+
SN000197,travel by plane,LX000052,,,,,,,,,,,,hence,,,s.o.
SN000198,spider,ave_1,,,,,,,,,b18c7f9f1980efa274f58619dead323b,,Ins,,,,
SN000199,spider silk; spider web,bea_ave_1,,,,,,,,spider's excretion,,,,,,,
SN000200,spider web,moe_ie_ave_1,,,,,,,,spider's house,,,,,,,
SN000201,"pick ‹s.th.›, pick up, espec. by pinching it between o.'s fingers, or holding it with tongs",LX000053,,,,,,,,,,,,,,,
SN000202,Malay apple,avie_1,,,,,,,,,54b22ec0d84c8309a17eb94ae27a470a,Syzygium malaccense,Bot,,,,
SN000203,"tongs, esp. long wooden tongs used to manipulate the hot stones of the oven ([awene](awene_1)) while cooking",aviro_1,,,,,,,,,,,,,,,
SN000204,be hanging,LX000054,,,,,,,,,,,,,,,
SN000205,be located above,LX000054,,,,,,,,,,,,,,,
SN000206,feel dizzy,LX000054,,,,,,,,head is hanging in the air,,,,,,,head
SN000207,"float, stay afloat (vs. sink)",LX000054,,,,,,,,,,,Naut,,,,boat+
SN000208,be anchored somewhere,LX000054,LX000413,,,,,,,,,,,hence,,,
SN000209,split ‹wood› using an axe ([kome](kome_1)),LX000055,,,,,,,,,,,Techn,,LX000337,,
SN000210,husk ‹coconuts›,LX000055,,,,,,,,,,,,,,,
SN000211,taro,avtebe_1,,,,,,,,,,Colocasia esculenta,,‡,jebute_1,,
SN000212,"piece of rope or liana, used to fasten together bulky burdens, e.g. food harvested from the garden, or firewood",avutone_1,,,,,,,"vine, rope",,,,Techn,,,,
SN000213,throat,awa_1,,,,,,,,,,,Anat,,wasawa_1,,
SN000214,"the seat of feelings, the ‘heart’. Grammatical subject of certain predicates referring to feelings",awa_1,,,,,,,,,,,,,,,
SN000215,the seat of will and desire,awa_1,,,,,,,,,,,,esp,,"+object NP, or object clause",
SN000216,"will, desire",awa_1,,,,,,,,,,,,hence,,,
SN000217,"ideas, thoughts",awa_1,,,,,,,,,,,,,,,
SN000218,"think, believe",LX000056,,,,,,,,my neck/mind says,,,,,,,
SN000219,want (that),LX000056,,,"Synt.: The subject of [~ko](LX000171) is the person who wants, i.e. the possessor of [awa](awa_1). The subject [awa](awa_1) is sometimes left implicit: the meaning ‘want’ is then expressed by [~ko](LX000171) alone.",,,,,,,,,freq,LX000165 ; LX000174 ; LX000173 ; LX000176,optionally foll. by [me](me_2) and/or [kape](kape_1),
SN000220,"like, appreciate",LX000057,,,,,,,,my neck/mind hits,,,,,,,
SN000221,"desire, want (that, [~ko](LX000166))",LX000057,,,,,,,,,,,,,,,
SN000222,traditional stone oven,awene_1,,,"A pit is dug in the ground of the kitchen, filled with cooking stones ([visiboko](visiboko_1)). Once the fire ([iawo](iawo_1)) has heated these stones, the food ([none](none_1)) is placed on them so as to be cooked ([~apinu](LX000041)) or baked ([~vai](LX000464)).",,,,,,,,,,,,
SN000223,"thank you (for, [peini](peini_1) ~ [ñe](LX000313))",awis_1,,,"Usually reinforced with [pine](pine_1) ‘big’, or [pine](pine_1) [tamwase](tamwase_1) ‘very big’.",,,,,,,,Disc,,,,
SN000224,"formula for closing a story, or taking leave",awis_1,,,,,,,,,,,,esp,,,
SN000225,thanks; gratitude,awis_2,,,,,,,,,,,,rare,,,
SN000226,"lime, used when chewing areca nut ([buioe](buioe_1)), in combination with betel leaves ([puluko](puluko_1))",awo_1,,,"Lime takes the form of a white powder similar to flour. It is often stored in a small box or pouch that men carry around as a necklace, so as to have it available whenever they chew areca nut.",,,,,,,,,,,,
SN000227,"end, finish, be over",awoiu_1,,,,,,,,,,,,,katae_1,,s.th.
SN000228,"be finished, be doomed",awoiu_1,,,,,,,,,,,,fig,,,s.o.
SN000229,Complete aspect,awoiu_2,,,,,,,,,,,Gram,,,after a verb,
SN000230,"afterwards, then",awoiu_3,,,,,,,,,,,Disc,,LX000298 ; wako_4,between two clauses; or beginning a new clause,
SN000231,"all, everybody",awoiu_4,,,,,,,,,,,Gram,,abia_1,linked with plural pronoun,
SN000232,"discourse particle, expressing the speaker's surprise or disbelief",ba_1,,,,,,,,,,,,,,following a question word,
SN000233,"stem, stalk",ba_2,,,,,,,,,,,,,,,plant
SN000234,large claw,ba_2,,,,,,,,,,,,,,,crab
SN000235,dual subject prefix for “Dislocutive”: 1st exclusive and 2nd person,ba-_1,,,,,,,,,,,,,,,
SN000236,"1st exclusive Dual prefix, whether realis or irrealis: the two of us",ba-_1,,,,,,,,,,,,,,,
SN000237,"2nd person Dual prefix, whether realis or irrealis: you two",ba-_1,,,,,,,,,,,,,,,
SN000238,"dual subject prefix for “Dislocutive”: 1st exclusive and 2nd person. Variant of [ba-](ba-_1) before a vowel, or for certain monosyllabic verb stems",bai-_1,,,,,,,,,,,,,,,
SN000239,pineapple,balawe_1,,,,,,,,,,Ananas sativus,Bot,,,,
SN000240,breadfruit (Moraceae),bale_1,,,,,,,,,83966bdad9adade2b4cc9ccedeed9f14,Artocarpus altilis,Bot,,,,
SN000241,bamboo pole,bali_1,,,,,,,,,,,Archi,gen,,,
SN000242,section of horizontal purlins overhanging the roof; eaves,bali_1,,,,,,,,,,,Archi,esp,,,
SN000243,"plinth: bamboo pole lying at the base of a house walling, to maintain it",bali_peini_telemoe_1,,,,,,,,pole for walls,,,,,,,
SN000244,"philodendron, k. o. large-leaved vine that grows up and wraps around trees",bamele_1,,,,,,,,,,Epipremnum spp,Bot,,,,
SN000245,k.o. philodendron with pinnate leaves,LX000058,,,,,,,,pinnate philodendron,,Epipremnum pinnatum,Bot,,,,
SN000246,"Banie: name of the main god of Vanikoro, in the island’s ancient religion",Banie_1,,,,,,,,,,,Myth,,Teliki_Makumoso_1,,
SN000247,"Mt Banie: name of the main volcano of Vanikoro, located on Banie island",Banie_2,,,,,,,,,,,Geo,,,,
SN000248,"Banie: name of the main island of the Vanikoro group – opp. [Teanu](Teanu_1), the second island in size",Banie_2,,,,,,,,,,,Geo,,,,
SN000249,the island group of Vanikoro as a whole,Banie_2,,,"This usage reflects an attempt at identifying a native equivalent for the geographical term [Vanikoro](Vanikoro_1), whose likely Polynesian origin is seen as inconvenient. This usage is criticised by some speakers, for whom [Banie](Banie_1) should be restricted to a single island ([Banie](Banie_2)).",,,,,,,,Geo,somet,,,
SN000250,maybe,bara_1,,,,,,,,,,,,,,,
SN000251,petiole of the coconut palm,baro_1,,,,,,,,,,,Bot,,,,
SN000252,the coconut palm as a whole,oie_baro_1,,,,,,,,,,,,,bauluko_1,,
SN000253,head,basa_1,,,,,,,,,,,Anat,,wabasa_1,,"animal, hum"
SN000254,"head, mind, as the seat of intelligence",basa_1,,,,,,,,,,,,,,,hum
SN000255,"height, vertical size",basa_1,,,,,,,,,,,,meton,,,s.o.
