ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
aipa_2,tkw,aipa,possessive,,,,one_1,,,aipele (?),,,,,aipa,,emito,
LX000014,tkw,~aiu,"verb, intransitive",,,,LX000494,,,~tu,,,,,(i·)aiu,,~eo,
LX000015,tkw,~aiu momobo,"verb, intransitive",,,LX000014,LX000347,,,,,,,,,,,
LX000016,tkw,~ajau,"verb, transitive",,,,,,,~lapie,,,,,(i·)aᶮɟau,,"~adao, ~adau",
ajekele_1,tkw,ajekele,noun,,,,,,,togale,,,,,aᶮɟekele,,soge,
LX000017,tkw,~aka,"verb, intransitive",,,,LX000479,,,~aka,,,,,(i·)aka,,~aka,
LX000018,tkw,~aka,"verb, transitive",,,,LX000222,,,,,,,,(i·)aka,,~di,
LX000019,tkw,~akai,"verb, transitive",,,,,,,,,,,,(i·)akai,,,
LX000020,tkw,~akale,"verb, transitive",,,,LX000105,POc: *karut,,,,,,,(i·)akale,,,
akapa_1,tkw,akapa,possessive,,,,enaka_1,,,agitore,,,,,akapa,,ageto,
piene_akapa_1,tkw,piene akapa,noun,,,akapa_1,,,,,,,,,,,,
akapa_2,tkw,akapa,possessive,,,,one_1,,,,,,,,akapa,,,
LX000021,tkw,~akasi,"verb, transitive",,,,,,,,,,,,(i·)akasi,,,
LX000022,tkw,~akawo,"verb, transitive",,,,LX000203,,,,,,,,(i·)akawo,,,
akia_1,tkw,akia,possessive,,,,enaka_1,,,agitere,,,,,akia,,agie,
akia_2,tkw,akia,possessive,,,,one_1,,,,,,,,akia,,egie,
LX000023,tkw,~ako,"verb, intransitive",,,,moso_1,,,~wi,,,,,(i·)ako,,~kou,
LX000024,tkw,al’ ero,noun,,,,ero_1,,,,,[ale](ale_1) ‘foot’ + [ero](ero_1) ‘river’,,,alero,,,alero
ale_1,tkw,ale,"noun, relational",,,,,,,kele,aele_1,,,,ale,,agela,
LX000025,tkw,~ali,"verb, transitive",,,,,,,~ti,,,,,(i·)ali,,,
LX000026,tkw,~ali,"verb, transitive",,,,,,,,,,,,(i·)ali,,,
aluko_1,tkw,aluko,noun,,,,,,,,,,,,aluko,,,
Alvaki_1,tkw,Alvaki,toponym,,,,,,,,,,,,alfaki,,,
LX000027,tkw,~amei,"verb, transitive",,,,,,,,,,,,(i·)amei,,,
amela_1,tkw,amela,possessive,,,,enaka_1,,,amiere,,,,,amela,,amile,
amela_2,tkw,amela,possessive,,,,one_1,,,,,,,,amela,,,
amjaka_1,tkw,amjaka,adjective,,,,apilaka_1,,amjaka_2,mañoko,,,,,amᶮɟaka,,magako,
amjaka_2,tkw,amjaka,postverb,,,,,,amjaka_1,mañoko,,,,,amᶮɟaka,,magako,mijaka ; mjaka
Amo_1,tkw,Amo,proper noun,,,,,,,,,,,,amo,,,
amoso_1,tkw,amoso,noun,,,,,"POc: *matuqa 'ripe, old'",,,,,,,amoso,,,
amuko_1,tkw,amuko,noun,,,,,,,,,,,,amuko,,,
Amwakilo_1,tkw,Amwakilo,proper noun,,,,,,,,,,,,amʷakilo,,,
amwaliko_1,tkw,amwaliko,noun,,,,,,,,mwaliko_1,,,,amʷaliko,,,
ane_1,tkw,ane,noun,,,,,,,,,,,,ane,,,
anema_1,tkw,anema,noun,,,,,,,,,,,,anema,,,
anes_1,tkw,anes,"noun, relational",,,,,,,kele,,,,,anes,,,anesi
Aneve_1,tkw,Aneve,toponym,,,,,,,,,,,,aneve,,,
LX000028,tkw,~aneve,"verb, transitive",,,,,,,,,,,,(i·)aneve,,~do,
anive_1,tkw,anive,noun,,,,aero_we_anive_1,,,,,,,,anive,,,
anluko_1,tkw,anluko,noun,,,,,,,,,,,,anluko,,,
anmobo_1,tkw,anmobo,noun,,,,,,,,,,,,anmoᵐbo,,,
anoko_1,tkw,anoko,noun,,,,,,,nene,,,,,anoko,,nene,
antebe_1,tkw,antebe,noun,,,,,,,,netebe_1,,,,anteᵐbe,,,
LX000029,tkw,~anu,"verb, transitive",,,,,,,~nu,,,,,(i·)anu,,~nu,
anuele_1,tkw,anuele,noun,,,,,,,pwile,,,,,anuele,,magaome,
anuele_anaero_1,tkw,anuele anaero,noun,,,anuele_1,,,,,,,,,,,,
anuele_tukuteleu_1,tkw,anuele tukuteleu,noun,,,anuele_1,,,,,,,,,,,,
LX000030,tkw,aña,noun,,,,LX000034 ; mama_1,,,"aña, añe",,,,,aɲa,,"aña, vagiñi",
LX000031,tkw,aña,noun,,,,,,,,,,,,aɲa,,,
