ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
bokoe_1,tkw,bokoe,noun,,,,,,,,,,,,ᵐbokoe,,,
LX000069,tkw,~bono,"verb, intransitive",,,,LX000389,,LX000070,,,,,,(i·)ᵐbono,,~eo,
LX000070,tkw,~bono,"verb, transitive",,,,,,LX000069,,,,,,(i·)ᵐbono,,~eo,
bonge_1,tkw,bonge,noun,,,,ma_3,,,,,,,,ᵐboŋe,,bonge,
boro_1,tkw,boro,adjective,,,,,,,,bworo_1,,,,ᵐboro,,,
boro_2,tkw,boro,noun,,,,dingobe_2,POc: *ᵐbʷose 'Scarus sp.',,,,,,,ᵐboro,,,
boroboro_1,tkw,boroboro,adjective,,,,,,,,bworobworo_1,,,,ᵐboroᵐboro,,,
boso_1,tkw,boso,preposition,,,,,,,bese,,,,,ᵐboso,,,
botongo_1,tkw,botongo,postverb,,,,,,,,,[~botongo](LX000071),,,,,,
LX000071,tkw,~botongo,"verb, transitive",,,,etapu_1,,LX000072,~belonga,,,,,(i·)ᵐbotoŋo,,~baonga,
LX000072,tkw,~botongo,"verb, reflexive",,,,mata_eo_1,,LX000071,~belonga,,,,,(i·)ᵐbotoŋo,,~baonga,
botu_1,tkw,botu,noun,,,,kuo_1,Eng: boat,,,,,,,ᵐbotu,,,
bou_1,tkw,bou,noun,,,,tevalvalo_1,,,,,,,,ᵐbou,,,
LX000073,tkw,~bu,"verb, intransitive",,,,LX000004,,,~me,,,,,(i·)ᵐbu,,~bu,
LX000074,tkw,~bu,"verb, transitive",,,,,,,,,,,,(i·)ᵐbu,,,
bu-_1,tkw,bu-,prefix,,,,,,,,,Cf. [abu](abu_1),,,ᵐbu-,,,
LX000075,tkw,~bubu,"verb, transitive",,,,LX000469,,,~bubu,,,,,(i·)ᵐbuᵐbu,,,
buia_1,tkw,buia,"noun, relational",,,,,,,bua,,,,,ᵐbuja,,buie,
buia_luro_1,tkw,buia luro,noun,,,,luro_1,,,,,[buia](buia_1) ‘testicles’ + [luro](luro_1) ‘coconut’,,,ᵐbujaluro,,,
LX000076,tkw,~buibu,"verb, intransitive",,,,viabasa_1,,,,,,,,(i·)ᵐbujᵐbu,,,
buioe_1,tkw,buioe,noun,,,,enaka_1 ; LX000139,POc: *ᵐbuaq 'Areca catechu',,namwe,,,,,ᵐbuioe,,boia,
buka_1,tkw,buka,noun,,,,enaka_1,Eng: book,,,,,,,ᵐbuka,,,
bula_1,tkw,bula,linker,,,,,,,,buro_bula_1,,,,ᵐbula,,,
bulateno_1,tkw,bulateno,noun,,,,,,,,blateno_1,,,,ᵐbulateno,,,
LX000077,tkw,~bulengi,"verb, transitive",,,,,,,,,[bu-](bu-_1) + [~lengi](LX000228),,,(i·)ᵐbuleŋi,,,
buluko_1,tkw,buluko,noun,,,,,,,,,,,,ᵐbuluko,,,
buluko_ie_tadoe_1,tkw,buluko ie tadoe,noun,,,buluko_1,,POc: *ᵐbulut,,,,"[buluko](buluko_1) ‘lamp’ + [ie](ie_1) ‘of’ + [tadoe](tadoe_1) ‘spirit, god’",,,,,,
bulusa_namuko_1,tkw,bulusa namuko,noun,,,,,,,,,Cf. [namuko](namuko_1) ‘fish’,,,ᵐbulusa namuko,,,
buluwowo_1,tkw,buluwowo,noun,,,,,,,,,,,,ᵐbuluwowo,,,
bumavira_1,tkw,bumavira,noun,,,,,,,,,,,,ᵐbumavira,,,
bune_1,tkw,bune,noun,,,,telupe_1,POc: *ᵐbune 'fruit dove',,,,,,,ᵐbune,,,
bunero_1,tkw,bunero,noun,,,,,POc: *ᵐbunaR,,,,,,,ᵐbunero,,,
buro_1,tkw,buro,noun,,,,,See PEO: *bakuRa 'Calophyllum sp.',,,,,,,ᵐburo,,bura,
buro_2,tkw,buro,noun,,,,LX000325,,,bure,,,,,ᵐburo,,bura,
buro_bula_1,tkw,buro bula,"noun, relational",,,buro_2,,,,,,,,,,,,
buro_bula_okoro_1,tkw,buro bula okoro,noun,,,buro_2,LX000546,,,,,[buro bula](buro_bula_1) + [okoro](okoro_1),,,,,,
busumoe_1,tkw,busumoe,noun,,,,pumene_1 ; nengele_moe_1,,,,,,,,ᵐbusumoe,,,
bute_1,tkw,bute,noun,,,,,,,bule,,,,,ᵐbute,,bue,
bwara_1,tkw,bwara,adverb,,,,LX000172,,,bweti,,,,,ᵐbʷara,,buru,bara
LX000078,tkw,~bwatui,"verb, intransitive",,,,,,,~bwatauki,,[bu-](bu-_1) + [~atui](LX000048),,,(i·)ᵐbʷatui,,~atuki,
bwoe_1,tkw,bwoe,noun,,,,,,,,boe_1,,,,ᵐbʷoe,,,
bwogo_1,tkw,bwogo,noun,,,,,,bwogo_2 ; bwogo_3,nedume,,,,,ᵐbʷoᵑgo,,bwoñi,bogo
bwogo_2,tkw,bwogo,predicative,,,,,,bwogo_1 ; bwogo_3,nedume,,,,,ᵐbʷoᵑgo,,bwoñi,
bwogo_3,tkw,bwogo,postverb,,,,,POc: *ᵐboŋi,bwogo_1 ; bwogo_2,nedume,,,,,ᵐbʷoᵑgo,,bwoñi,
ne_bwogo_1,tkw,ne bwogo,locative,,,bwogo_1,nobwogo_1,,,,,,,,,,,ne bogo
bwogo_wako_1,tkw,bwogo wako,interjection,,,bwogo_1,,,,,,,,,,,,bogo wako
ra_ra_bwogo_1,tkw,ra ra bwogo,phrase,,,bwogo_2,,,,,,,,,,,,
bworo_1,tkw,bworo,adjective,,,,,,,bware,,,,,ᵐbʷoro,,betika,boro
bworobworo_1,tkw,bworobworo,adjective,,,,,,,balebware,,,,,ᵐbʷoroᵐbʷoro,,betikabetika,boroboro
da_1,tkw,da,pers. pronoun,,,,da-tilu_1 ; la-_1,,da_2 ; da_3,dea,,,,,ⁿda,,dea,
da_2,tkw,da,quantifier,,,,,,da_1 ; da_3,dea,,,,,ⁿda,,dea,
da_3,tkw,da,linker,,,,,POc: *ra '3 plural',da_1 ; da_2,dea,,,,,ⁿda,,dea,
LX000079,tkw,da=,quantifier,,,,,POc: *ra '3 plural',,,,,,,ⁿda,,,
LX000080,tkw,~da,"verb, transitive",,,,,,,~da,,,,,(i·)ⁿda,,~dao,
dada_1,tkw,dada,noun,,,,,,,,,,,,ⁿdaⁿda,,,
LX000081,tkw,~dadai,"verb, transitive",,,,,,LX000082,~dai,,Red. [~dai](LX000083),,,(i·)ⁿdaⁿdai,,,
LX000082,tkw,~dadai,"verb, intransitive",,,,,,LX000081,~dai,,Red. [~dai](LX000083),,,(i·)ⁿdaⁿdai,,,
LX000083,tkw,~dai,"verb, transitive",,,,,,LX000084,~dai,,,,,(i·)ⁿdai,,,
LX000084,tkw,~dai,"verb, intransitive",,,,,,LX000083,~dai,,,,,(i·)ⁿdai,,,
damala_1,tkw,damala,noun,,,,koro_1 ; beve_1,,,pemala,,[da=](LX000079) + *mala ‘white’ (?),,,ⁿdamala,,petonga,
ie_damala_1,tkw,ie damala,adjective,,,damala_1,,,,,,,,,,,,
dameliko_1,tkw,dameliko,noun,,,,menu_1 ; apali_1,,,maranga melika,,,,,ⁿdameliko,,lali uneida,da meliko ; damiliko ; da miliko
dapa_1,tkw,dapa,pers. pronoun,,,,,,dapa_2,detu,,Cf. [da](da_1) ‘3 dual’ + [-pa](-pa_1),,,ⁿdapa,,dato,dap’
dapa_2,tkw,dapa,quantifier,,,,LX000079,,dapa_1,detu,,,,,ⁿdapa,,dato,dap’
dapa_gete_1,tkw,dapa gete,noun,,,,mwatagete_1,,,detu laungale,,[dapa](dapa_2) + [gete](gete_1),,,ⁿdapa ᵑgete,,,dapagete
dapa_wopine_1,tkw,dapa wopine,noun,,,,dapenuo_1 ; mwaliko_pine_1 ; piene_adapa_wopine_1,,,,,[dapa](dapa_2) + [wopine](wopine_1),,,ⁿdapa wopine,,,idi wopine
dapenuo_1,tkw,dapenuo,noun,,,,,,,,,[da=](LX000079) + [penuo](penuo_1),,,ⁿdapenuo,,,da penuo
da-tilu_1,tkw,da-tilu,quantifier,,,,tilu_1,,da-tilu_2,,,[da=](LX000079) + [tilu](tilu_1),,,ⁿdatilu,,lalu,datilu
da-tilu_2,tkw,da-tilu,pers. pronoun,,,,,,da-tilu_1,,,,,,ⁿdatilu,,lalu,datilu
LX000085,tkw,daviñevi,noun,,,,,POc: *pine 'woman',,veñime,,[da=](LX000079) + [viñevi](LX000492),,,ⁿdaviɲevi,,,da viñevi
davuduko_1,tkw,davuduko,noun,,,,,,,,,,,,ⁿdavuⁿduko,,,
dekele_1,tkw,dekele,noun,,,,,,,tepanga,,,,,ⁿdekele,,,
delesa_1,tkw,delesa,noun,,,,,,,,,,,,ⁿdelesa,,,
demene_1,tkw,demene,noun,,,,kuo_1,,,,,,,,ⁿdemene,,,
kuo_demene_1,tkw,kuo demene,noun,,,demene_1,,POc: *saman,,,,[kuo](kuo_1) + [demene](demene_1),,,,,,
dere_1,tkw,dere,noun,,,,,,,,,,,,ⁿdere,,,
dere_wablubu_1,tkw,dere wablubu,noun,,,dere_1,,,,,,,,,,,,
dere_mie_boe_1,tkw,dere mie boe,noun,,,dere_1,,,,,,,,,,,,
dero_1,tkw,dero,noun,,,,,,,dure,,,,,ⁿdero,,dora,
deruobe_1,tkw,deruobe,noun,,,,,,,,,,,,ⁿderuoᵐbe,,,
devele_1,tkw,devele,noun,,,,okoro_1,,,devele,,,,,ⁿdevele,,davala,
LX000086,tkw,~di,"verb, transitive",,,,,,,,,,,,(i·)ⁿdi,,,
didie_1,tkw,didie,adjective,,,,,,,,,,,,ⁿdiⁿdie,,,
die_1,tkw,die,"noun, relational",,,,diemoso_1,,,die,,,,,ⁿdie,,dele,
die_idi_1,tkw,die idi,noun,,,die_1,,,,,,,,,,,,
die_nengele_1,tkw,die nengele,noun,,,die_1,,,,,,[die](die_1) + [nengele](nengele_1),,,,,,
die_i-meli_1,tkw,die i-meli,phrase,,,die_1,sa_pine_1 ; LX000466,,,,,,,,,,,
diemoso_1,tkw,diemoso,noun,,,,,,,lebwe,,Cf. [die](die_1) ‘bone’,,,ⁿdiemoso,,,
dienebe_1,tkw,dienebe,noun,,,,nengele_moe_1,,,,,,,,ⁿdieneᵐbe,,,
digo_1,tkw,digo,noun,,,,nengele_moe_1,,,,,,,,ⁿdiᵑgo,,,
diksoneri_1,tkw,diksoneri,noun,,,,enaka_1 ; buka_1,Eng: dictionary,,,,,,,diksoneri,,,diksonari
dingobe_1,tkw,dingobe,noun,,,,,POc: *sikop,,dingora,,,,,ⁿdiŋoᵐbe,,,digobe
dingobe_2,tkw,dingobe,noun,,,,boro_2,,,,,Cf. [dingobe](dingobe_1) (by analogy),,,ⁿdiŋoᵐbe,,,digobe
diro_1,tkw,diro,noun,,,,visone_1,,,,,,,,ⁿdiro,,,
mata_diro_1,tkw,mata diro,noun,,,diro_1,,,,,,[mata](mata_1) + [diro](diro_1),,,,,,
LX000087,tkw,~do,"verb, transitive",,,,LX000087 ; LX000423 ; LX000501 ; LX000545 ; LX000550 ; vese_1 ; mata_1 ; jie_1 ; ekuo_1,,,,,,,,(i·)ⁿdo,,~do,
LX000088,tkw,~do,"verb, transitive",,,,,POc: *ⁿdolom,,~ne,,,,,(i·)ⁿdo,,,
LX000089,tkw,~do,"verb, transitive",,,,,,,,,,,,(i·)ⁿdo,,,
LX000090,tkw,~dobuo,"verb, intransitive",,,,,,,,,,,,(i·)ⁿdoᵐbuo,,vatubuka,
dokita_1,tkw,dokita,noun,,,,,Eng: doctor,,,,,,,ⁿdokita,,,
doko_1,tkw,doko,noun,,,,,POc: *raqu(p),,,,,,,ⁿdoko,,,
dokole_1,tkw,dokole,noun,,,,,,,,,,,,ⁿdokole,,,
done_1,tkw,done,adjective,,,,,,,,,,,,ⁿdone,,nione,
donga_1,tkw,donga,"noun, relational",,,,,,,,,,,,ⁿdoŋa,,,
dowene_1,tkw,dowene,noun,,,,,,,,,,,,ⁿdowene,,,
duduko_1,tkw,duduko,noun,,,,,,,,nuduko_1,,,,ⁿduⁿduko,,,
LX000091,tkw,~e,"verb, transitive",,,,LX000504,,,~e,,,,,(i·)e,,~ei,
pe_li-e_1,tkw,pe li-e,phrase,,,LX000091,,,,,,,,,,,,
LX000092,tkw,ebel’ ini,noun,,,,ebele_piene_1,,LX000093,nebele ngani,ebele_1,[ebele](ebele_1) + [ini](ini_1),,,eᵐbelini,,nibela nini,ebele ini
LX000093,tkw,ebel’ ini,interjection,,,,me_5,,LX000092,nebele ngani,,,,,eᵐbelini,,nibela nini,ebele ini
ebele_1,tkw,ebele,"noun, relational",,,,,,ebele_2,nebele,,,,,eᵐbele,,nibela(ko),
ebele_2,tkw,ebele,interjection,,,,LX000092 ; me_5,,ebele_1,nebele,,,,,eᵐbele,,nibela(ko),
ebele_kuo_1,tkw,ebele kuo,noun,,,ebele_1,kuo_1,,,,,[ebele](ebele_1) + [kuo](kuo_1),,,,,,
ebele_moe_1,tkw,ebele moe,noun,,,ebele_1,moe_1,,,,,[ebele](ebele_1) + [moe](moe_1),,,,,,
ebele_nga_1,tkw,ebele nga,phrase,,,ebele_1,nga_ebele_li-ko_1,,,,,[ebele](ebele_1) + [nga](nga_1),,,,,,
ebele_piene_1,tkw,ebele piene,noun,,,,LX000404,,ebele_piene_2,"nebelioko, nebele mwamwane",,[ebele](ebele_1) + [piene](piene_1),,,eᵐbele piene,,nib(i)lako puiene,
ebele_piene_2,tkw,ebele piene,interjection,,,,,,ebele_piene_1,"nebelioko, nebele mwamwane",,,,,eᵐbele piene,,nib(i)lako puiene,
ebieve_1,tkw,ebieve,noun,,,,,,,,,,,,eᵐbieve,,,
ebieve_2,tkw,ebieve,noun,,,,,,,verue,,,,,eᵐbieve,,rove,
ebo_1,tkw,ebo,noun,,,,,,,,,,,,eᵐbo,,,
ebuloko_1,tkw,ebuloko,adjective,,,,,,,,,,,,eᵐbuloko,,,ebloko
LX000094,tkw,~ejau ebuloko,construction,,,ebuloko_1,,,,,,[~ejau](LX000095) ‘make’ + [ebuloko](ebuloko_1) ‘ready’,,,,,,
ei_1,tkw,ei,interjection,,,,,,,,,,,,ei,,,
LX000095,tkw,~ejau,"verb, transitive",,,,LX000133 ; LX000271 ; LX000098,,LX000096,~lapie,,,,,(i·)eᶮɟau,,"~adao, ~adau",~ajau
LX000096,tkw,~ejau,"2nd verb, intrans.",,,,,,LX000095,~lapie,,,,,(i·)eᶮɟau,,"~adao, ~adau ; ~adau",~ajau
LX000097,tkw,~ejau none,verb-object idiom,,,LX000095,,,,,,,,,,,,
LX000098,tkw,~ejau ngatene,verb-object idiom,,,,LX000200,,,~lapie vesemele,,[~ejau](LX000095) + [ngatene](ngatene_1),,,(i·)eᶮɟau ŋatene,,~adau vamora,
LX000099,tkw,~eke,"verb, intransitive",,,,,,LX000100,,,,,,(i·)eke,,,
LX000100,tkw,~eke,"verb, transitive",,,,,,LX000099,,,,,,(i·)eke,,,
LX000101,tkw,~ekeke,"verb, intransitive",,,,LX000372,,,"~keke, ~memelu",,,,,(i·)ekeke,,,
LX000102,tkw,~eketele,"verb, intransitive",,,,,,,~sipwedetu,,,,,(i·)eketele,,,
LX000103,tkw,~ekili,"verb, intransitive",,,,miko_1,,,,,,,,(i·)ekili,~ekilikili,~ekili,
ekuo_1,tkw,ekuo,noun,,,,,,,,,,,,ekuo,,,
ela_1,tkw,ela,"noun, relational",,,,elela_1,,,,,,,,ela,,lada,
ela_2,tkw,ela,noun,,,,,,ela_3,wila,,,,,ela,,nile,
ela_3,tkw,ela,"noun, relational",,,,ise_1,,ela_2,wila,,,,,ela,,nile,
elela_1,tkw,elela,noun,,,,,,,,,Redup. of [ela](ela_1),,,elela,,,
LX000104,tkw,~elele,"verb, transitive",,,,,,,,,,,,(i·)elele,,,~welele
elene_1,tkw,elene,noun,,,,,,,,,,,,elene,,,
eluro_1,tkw,eluro,noun,,,,,,,,,,,,eluro,,,
emele_1,tkw,emele,noun,,,,,,emele_2,neme,,,,pl: da viñevi,emele,,mee,
emele_2,tkw,emele,adjective,,,,,,emele_1,neme,,,,,emele,,mee,
emele_aplaka_1,tkw,emele aplaka,noun,,,emele_1,,,,,,[emele](emele_1) + [apilaka](apilaka_1),,,,,,emele apilaka
LX000105,tkw,~ememe,"verb, intransitive",,,,,,,,,,,,(i·)ememe,,,
LX000106,tkw,en’,pers. pronoun,,,,,,,,,,,,en’,,,
enaka_1,tkw,enaka,possessive,,,,enaka_1 ; ono_1 ; ape_1 ; akia_1 ; aba_1 ; amela_1 ; ada_1 ; akapa_1 ; upa_1 ; aipa_1 ; adapa_1 ; aidi_1 ; we_2,,,anga,,,,,enaka,,ae,'naka
ene_1,tkw,ene,pers. pronoun,,,,,,,ngane,,,,,ene,,nana,
ene_2,tkw,ene,adverb,,,,,,,,,,,,ene,,,
LX000107,tkw,pe… ene,construction,,,ene_2,,,,,,,,,,,,
ene_3,tkw,ene,adverb,,,,ere_1,,,ida / ngate,,,,,ene,,kana / eto,
-ene_1,tkw,-ene,suffix,,,,,,,,,,,,-ene,,,
enone_1,tkw,enone,possessive,,,,enone_1 ; iono_1 ; iape_1 ; iakia_1 ; iaba_1 ; iamela_1 ; iada_1 ; iakapa_1 ; iupa_1 ; iaipa_1 ; iadapa_1 ; iaidi_1 ; ie_1,,,ianga,,,,,enone,,ie,'none
dapa_enone_1,tkw,dapa enone,noun,,,enone_1,,,,,,,,,,,,uña dapa enone
enga_1,tkw,enga,"noun, relational",,,,,,,nenge,,,,,eŋa,,ninge,
engaenga_1,tkw,engaenga,adjective,,,,engaiote_1,,,nengenenge,,Redup. [enga](enga_1) ‘sort’,,,eŋaeŋa,,,
engaiote_1,tkw,engaiote,adjective,,,,LX000066,,,nengeleka,,[enga](enga_1) ‘sort’ + [iote](iote_1) ‘other’,,pl: engaenga,eŋajote,,ningekeo,
engakula_1,tkw,engakula,adjective,,,,,,,,,"[enga](enga_1) ‘name, type’ + [kula](kula_2) ‘various’",,,eŋakula,,,
engasune_1,tkw,engasune,adjective,,,,,,,,ngasune_1,,,,eŋasune,,,
LX000108,tkw,~engi,"verb, transitive",,,,,,,,,,,,(i·)eŋi,,,
eo_1,tkw,eo,pers. pronoun,,,,iono_1,,,ago / -ngo,,,,,eo,,go,
LX000109,tkw,~epe,"verb, intransitive",,,,atone_1,,,~epwa,,,,,(i·)epe,,~epo,~kepe
LX000110,tkw,~epele,"verb, intransitive",,,,,,,,,,,,(i·)epele,,,
epu_1,tkw,epu,noun,,,,pie_1,,,epu,,,,1s: epu 'none ; 2s: epu iono ; 3s: epu iape,epu,,epu,
ere_1,tkw,ere,adverb,,,,,,,,,,,,ere,,,
ero_1,tkw,ero,noun,,,,ero_1 ; iaero_1 ; LX000024 ; waluko_ero_1 ; pwama_iaero_1 ; mata_ero_1 ; toloto_1 ; LX000348 ; LX000222,POc: *waiR,,wire,,,,,ero,,nira,
ero_pana_1,tkw,ero pana,noun,,,ero_1,,,,,,,,,,,,
waluko_ero_1,tkw,waluko ero,noun,,,ero_1,,,,,,[waluko](waluko_1) ‘side’ + [ero](ero_1) ‘river’,,,,,,
ero_2,tkw,ero,noun,,,,ne_2 ; me_4 ; me_4 ; me_4,,,"ure, uru",,,,,ero,,nora,
ero_3,tkw,ero,predicative,,,,viabasa_1,,,,,"Cf. (?) [ero](ero_1) ‘water, stream’",,,,,,
LX000111,tkw,et’ iape,noun,,,,,,,,,[ete](ete_1) + [iape](iape_2),,,eˈʧape,,,
etapu_1,tkw,etapu,adjective,,,,mam_tadoe_1 ; moe_etapu_1,,etapu_2 ; etapu_3,etapu,,,,,etapu,,etapu,'tapu
etapu_2,tkw,etapu,interjection,,,,,,etapu_1 ; etapu_3,etapu,,,etapu!,,etapu,,etapu,'tapu
etapu_3,tkw,etapu,modal,,,,,"Polynesian: e tapu 'it is sacred' ; POc: *taᵐbu 'holy, forbidden'",etapu_1 ; etapu_2,etapu ; ikaie,,,,,etapu,,etapu ; etapu,'tapu
ete_1,tkw,ete,"noun, kinship",,,,,,,pwapwa,,,,1s: et’ one ; 2s: ete ; 3s: et’ iape ; 3p: et’ ada,ete,,"ina, papu",
etelo_1,tkw,etelo,noun,,,,,,,,,,,,etelo,,,
etelo_2,tkw,etelo,noun,,,,,,,,,,,,etelo,,,
LX000112,tkw,~etengi,"verb, intransitive",,,,tengiro_1,POc: *taŋis 'cry',,~tengi,,,,,(i·)eteŋi,,~etange,
etera_1,tkw,etera,locative,,,,ngogoro_1 ; sekele_1,,,,,,,,etera,,,
eva_1,tkw,eva,noun,,,,,,,,,Cf. [evele](evele_1),,,eva,,,
evele_1,tkw,evele,noun,,,,,,,,,Cf. [eva](eva_1),,,evele,,,
evero_1,tkw,evero,noun,,,,,,,,,,,,evero,,,
evero_moloe_1,tkw,evero moloe,noun,,,evero_1,,,,,,,,,,,,
ewe_1,tkw,ewe,interjection,,,,,,,ewe,,,,,ewe,,ewe,
Franisi_1,tkw,Franisi,toponym,,,,,Pjn: Franis ; Eng: France,,,,,,,franisi,,,Franis
LX000113,tkw,~garei,"verb, transitive",,,,,,,,,,,,(i·)ᵑgarei,,,
gea_1,tkw,gea,"noun, kinship",,,,,,,,,,,1s: gi' one ; 2s: gea ; 3s: gi' iape ; 3p: gi' adapa,ᵑgea,,ñinga,
gete_1,tkw,gete,noun,,,,mwatagete_1,,,,,,,,ᵑgete,,,
Voko_ma_Gete_1,tkw,Voko ma Gete,toponym,,,gete_1,,,,,,[voko](voko_1) + [ma](ma_3) + [gete](gete_1),,,,,,
LX000114,tkw,gi’,"noun, kinship",,,,,,,,gea_1,,,,ᵑgi,,,
gilita_1,tkw,gilita,noun,,,,basa_2 ; melevoko_1,,,kure,,,,,ᵑgilita,,lova,
gita_1,tkw,gita,noun,,,,,Eng: guitar,,,,,,,ᵑgita,,,
LX000115,tkw,~go,"verb, reflexive",,,,LX000179,,,,,,,,(i·)ᵑgo,,,
LX000116,tkw,~gulei,"verb, transitive",,,,LX000145,,,,,,,,(i·)ᵑgulei,,,
Honiara_1,tkw,Honiara,toponym,,,,,,,,,,,,honiara,,,
LX000117,tkw,~i,"verb, intransitive",,,,LX000339,,,,,,,,(i·)i,,,
i-_1,tkw,i-,subject prefix,,,,ini_1,,,i- / ki-,,,,,,,i-,
ia_1,tkw,ia,interjection,,,,,,,,,,,,ja,,,
ia_2,tkw,ia,coordinator,,,,,,,ia,,,,,ja,,ia,
LX000118,tkw,~ia,"verb, transitive",,,,LX000246 ; LX000252 ; iawo_1,,,,,,,,(i·)ja,,,
LX000119,tkw,~ia,"verb, transitive",,,,bea_1,,,,,,,,(i·)ja,,,
iaba_1,tkw,iaba,possessive,,,,,,,iemere,,,,,jaᵐba,,(ak)egabe,
iabuiepa_1,tkw,iabuiepa,noun,,,,,,,,,,,,jaᵐbujepa,,,
iada_1,tkw,iada,possessive,,,,,,,iedere,,,,,jaⁿda,,(ak)edea,
iadapa_1,tkw,iadapa,possessive,,,,,,,iodore,,,,,jaⁿdapa,,(ak)edato,
iadiro_1,tkw,iadiro,noun,,,,,,,,,Cf. [diro](diro_1) ‘dart’,,,jaⁿdiro,,,
iadiro_peini_otovo_1,tkw,iadiro peini otovo,noun,,,iadiro_1,,,,,,[otovo](otovo_1) ‘sago’,,,,,,
iae_1,tkw,iae,interjection,,,,,,,ese,,Cf. [ae](ae_1) ‘what’,,,jae,,jive,
iaero_1,tkw,iaero,noun,,,,ero_1,,iaero_2,sawire,,Cf. [ero](ero_1) ‘water’,,,jaero,,,
iaero_2,tkw,iaero,toponym,,,,,,iaero_1,sawire,,,,,jaero,,,
LX000120,tkw,~iaibi,"verb, transitive",,,,,,,,,,,,(i·)jaiᵐbi,,,
iaidi_1,tkw,iaidi,possessive,,,,aidi_1,,,,,,,,jaiⁿdi,,,
iaini_1,tkw,iaini,interjection,,,,,,,iangani,,Cf. [ini](ini_1) ‘it/him/her’,,,jaini,,,
iaipa_1,tkw,iaipa,possessive,,,,,,,,,,,,jaipa,,(ak)edato,
iakapa_1,tkw,iakapa,possessive,,,,akapa_1,,,iegitore,,,,,jakapa,,(ak)egeto,
dapa_iakapa_1,tkw,dapa iakapa,noun,,,iakapa_1,dapa_noma_1,,,,,,,,,,,
kulumoe_iakapa_1,tkw,kulumoe iakapa,noun,,,iakapa_1,,,,,,,,,,,,
iakia_1,tkw,iakia,possessive,,,,akia_1,,,iegitore,,,,,jakia,,(ak)egie,
iamela_1,tkw,iamela,possessive,,,,,,,iemiere,,,,,jamela,,emile,
iape_1,tkw,iape,possessive,,,,,,,ia,,,,,jape,,"na, ena, ake nini",
dapa_iape_1,tkw,dapa iape,noun,,,iape_1,,,,,,,,,,,,
iape_2,tkw,iape,possessive,,,,one_1,,,,,,,,jape,,ena,
iawo_1,tkw,iawo,noun,,,,iawo_1 ; longe_1 ; awene_1 ; kangele_iawo_1 ; vangana_1 ; pana_1 ; LX000248 ; LX000252 ; LX000118 ; LX000504 ; LX000065 ; LX000388 ; LX000411 ; kaiawo_1 ; beniawo_1 ; viomoro_1 ; uro_1 ; awene_1,POc: *api,,nepie,,,,,jawo,,niava,
idi_1,tkw,idi,pers. pronoun,,,,idi_1 ; li-_1 ; le-_1 ; iaidi_1 ; aidi_1 ; aidi_2,,idi_2,nili,,,,,iⁿdi,,"deli, deili",
idi_2,tkw,idi,quantifier,,,,,,idi_1,nili,,,,,iⁿdi,,"deli, deili",
idi_abia_1,tkw,idi abia,noun,,,,,,,,,,,,iⁿdi.aᵐbia,,,
ie_1,tkw,ie,possessive,,,,,,,ie,,,,,je,,ake,
ie_2,tkw,ie,possessive,,,,ne_2 ; one_1,,,,,,,,je,,,
ie_3,tkw,ie,noun,,,,,,,,,,,,je,,,
iebe_1,tkw,iebe,noun,,,,LX000028,,,,,,,,jeᵐbe,,vidila,
iepiene_1,tkw,iepiene,noun,,,,,,,,,Cf. [piene](piene_1) ‘speech’,,,jepiene,,,
iero_1,tkw,iero,noun,,,,,,,,,,,,jero,,,
iero_peini_revo_1,tkw,iero peini revo,noun,,,iero_1,,POc: *aRu,,,,,,,,,,
Iglan_1,tkw,Iglan,toponym,,,,,,,,,,,,iᵑglan,,,
ije_1,tkw,ije,"noun, relational",,,,,,,uñe,,,,,iᶮɟe,,vagiñekole,
ije_poi_1,tkw,ije poi,noun,,,ije_1,,,,,,,,,,,,ije pwoi
ije_boe_1,tkw,ije boe,noun,,,ije_1,LX000086,,,,,,,,,,,ije bwoe
iliro_1,tkw,iliro,noun,,,,,POc: *quRis,,,,,,,iliro,,,
ilo_1,tkw,ilo,noun,,,,,,,,,,,,ilo,,,
ilo_we_uvilo_1,tkw,ilo we uvilo,noun,,,ilo_1,,,,,,,,,,,,
imaluo_1,tkw,imaluo,noun,,,,,,,milipie,,[~maluo](LX000253) ‘live’,,,imaluo,,,
imuo_1,tkw,imuo,numeral,,,,rea_1 ; tivi_1,,,,,,,,imuo,,imoa,
ini_1,tkw,ini,pers. pronoun,,,,iape_1,,,ngani,,,,,ini,,nini,
io_1,tkw,io,interjection,,,,,,,,,,,,jo,,io,
LX000121,tkw,~ioi,"verb, transitive",,,,,,,,LX000125,,,,(i·)joi,,,
iolulu_1,tkw,iolulu,noun,,,,megilo_1,,,,,,,,jolulu,,,
iono_1,tkw,iono,possessive,,,,,,,iemie,,,,,jono,,"ei, eni",
iote_1,tkw,iote,adjective,,,,,,iote_2 ; iote_3,leka,,,,,jote,,keo,
iote_2,tkw,iote,quantifier,,,,iune_1,,iote_1 ; iote_3,leka,,,,,jote,,keo,
iote_3,tkw,iote,noun,,,,,,iote_1 ; iote_2,leka,,,,,jote,,keo,
